stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Hebert\Area de trabalho\Programacao\UFV\SISTEMAS DE INFORMAÇÃO - UFV\5° Semestre\Computação Orientada a objetos\Projeto\PROJETOFINAL\Pacman\bin\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.18601] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18608] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18615] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18621] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18626] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18632] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18638] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18643] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18648] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18652] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18656] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18660] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18664] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18669] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18675] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18680] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18686] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18692] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18698] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18703] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18709] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18714] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18719] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18723] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18727] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18731] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18737] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18741] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18746] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18752] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18757] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18762] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18769] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18775] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18781] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18786] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18793] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18800] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18807] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18813] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18820] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18826] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18833] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18839] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18845] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18850] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18856] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18862] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18869] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18877] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18888] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18896] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18902] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18908] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18913] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18922] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18931] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18939] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18947] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18954] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18966] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18974] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18980] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18987] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18999] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19005] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19011] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19016] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19020] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19024] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19028] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19032] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19038] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19045] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19052] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19060] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.19072] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.19079] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19086] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19091] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19097] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19102] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19108] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.19113] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19119] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.19124] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19129] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.19135] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19152] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.19176] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19190] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.19196] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19202] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.19208] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19214] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.19220] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19227] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19233] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19246] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19254] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19261] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.19267] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19274] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.19279] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19285] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.19290] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19296] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.19301] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19306] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.19311] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19316] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.19322] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19327] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.19334] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19343] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19349] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19358] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19365] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19372] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.19383] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19391] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.19399] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19407] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.19413] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19419] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.19425] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19431] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.19436] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19442] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.19453] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19460] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.19466] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19471] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19475] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19479] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19483] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19488] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.19492] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19497] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.19503] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19509] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.19515] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19522] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.19528] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19533] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.19541] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19547] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.19553] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19561] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.19570] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19577] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19582] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19588] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19592] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19597] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.19602] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19608] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.19613] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19617] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.19622] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19626] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.19630] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19634] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.19639] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19649] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.19656] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19662] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.19667] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19681] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19691] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19698] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19715] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19750] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.19772] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19780] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.19785] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19790] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.19795] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19801] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.19806] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19812] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.19818] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19823] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.19827] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19832] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.19836] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19841] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19847] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19854] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19859] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19867] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.19873] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19879] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.19885] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19890] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.19895] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19902] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.19909] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19915] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.19919] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19924] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.19928] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19932] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.19936] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19941] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19945] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.19949] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.19953] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19957] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.19961] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19966] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.19970] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19974] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.19978] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19982] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.19986] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.19993] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.20000] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20007] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.20013] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.20019] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.20026] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20032] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20038] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20044] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20050] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20067] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20079] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20084] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20089] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20095] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20100] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20105] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20111] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20117] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20123] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20130] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20135] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20141] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20147] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20152] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20158] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.20163] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20169] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20175] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20179] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20185] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20191] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20197] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20210] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20217] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20222] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20228] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.20234] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.20240] Single Buffer requirement not met.
